1000 Gen -- Vargha and Delaney’s Aˆ12: (probability, that a run A is worse than B)
Metric:            EP	           HV	           RT
cpu_4.metrics.V2 gpu_sync_5.metrics.V2	       1	       1	       1
cpu_4.metrics.V2 gpu_sync_6.metrics.V2	       0	       0	       0
cpu_5.metrics.V2 cpu_6.metrics.V2	     0.2	       1	       0
cpu_5.metrics.V2 gpu_async	       0	       0	       1
cpu_5.metrics.V2 gpu_async_1.metrics.V2	       0	   0.133	       0
cpu_5.metrics.V2 gpu_async_2.metrics.V2	       0	       1	       0
cpu_5.metrics.V2 gpu_async_3.metrics.V2	       1	       1	       1
cpu_5.metrics.V2 gpu_async_4.metrics.V2	       1	   0.867	       1
cpu_5.metrics.V2 gpu_async_5.metrics.V2	       1	       0	       0
cpu_5.metrics.V2 gpu_async_6.metrics.V2	       1	       1	     0.8
cpu_5.metrics.V2 gpu_sync	       1	       1	       1
cpu_5.metrics.V2 gpu_sync_1.metrics.V2	       1	       1	       1
cpu_5.metrics.V2 gpu_sync_2.metrics.V2	       1	   0.867	       1
cpu_5.metrics.V2 gpu_sync_3.metrics.V2	       1	       0	       0
cpu_5.metrics.V2 gpu_sync_4.metrics.V2	       1	       1	   0.733
cpu_5.metrics.V2 gpu_sync_5.metrics.V2	       1	       1	       1
cpu_5.metrics.V2 gpu_sync_6.metrics.V2	       1	       1	       1
cpu_6.metrics.V2 gpu_async	   0.333	       1	       0
cpu_6.metrics.V2 gpu_async_1.metrics.V2	       0	       0	       1
cpu_6.metrics.V2 gpu_async_2.metrics.V2	       0	   0.333	       0
cpu_6.metrics.V2 gpu_async_3.metrics.V2	       0	       1	       0
cpu_6.metrics.V2 gpu_async_4.metrics.V2	       1	       1	       1
cpu_6.metrics.V2 gpu_async_5.metrics.V2	     0.4	  0.0667	   0.133
cpu_6.metrics.V2 gpu_async_6.metrics.V2	   0.867	     0.6	   0.453
cpu_6.metrics.V2 gpu_sync	   0.533	   0.333	   0.867
cpu_6.metrics.V2 gpu_sync_1.metrics.V2	   0.667	       1	       1
cpu_6.metrics.V2 gpu_sync_2.metrics.V2	       0	       0	       0
cpu_6.metrics.V2 gpu_sync_3.metrics.V2	       0	       0	  0.0667
cpu_6.metrics.V2 gpu_sync_4.metrics.V2	       0	       0	       0
cpu_6.metrics.V2 gpu_sync_5.metrics.V2	       0	       1	       1
cpu_6.metrics.V2 gpu_sync_6.metrics.V2	       0	       0	       1
gpu_async gpu_async_1.metrics.V2	       1	     0.6	       1
